feature,importance
has_asthma,0.29889244
pqe_to_ed_ratio,0.14247006
n_pqe_ed,0.06507599
days_since_last_pqe,0.06467736
comorbidity_count,0.028983278
pqe_per_year,0.022510696
has_diabetes,0.020156365
ENTLMT_RSN_ORIG,0.019524444
has_htn,0.017991366
multi_chronic,0.017537566
ENTLMT_RSN_CURR,0.01339778
AGE_AT_END_REF_YR,0.011995096
has_ckd,0.011407257
n_unique_drugs,0.010654137
n_diagnoses,0.010611477
n_snf_claims,0.010503486
ed_per_year,0.010060832
n_inpatient,0.009855046
has_hospice,0.008648508
n_hospice_claims,0.008601111
bice_boxerman,0.008053561
recent_to_early_ratio,0.0077950354
n_ed_claims,0.007721551
inpatient_ratio,0.0077028624
has_dme,0.007684287
ed_to_total_ratio,0.007571168
claims_per_year,0.007569162
high_polypharmacy,0.0075392225
rx_per_year,0.0073989974
n_dme_claims,0.0073942486
n_prescriptions,0.0071779923
provider_per_claim,0.0071008545
has_copd,0.0070313453
n_facilities,0.0070017213
days_since_last_claim,0.0068367436
n_obs_years,0.0068339943
SEX_IDENT_CD,0.006674216
n_carrier,0.0066716075
ESRD_IND,0.006359179
consecutive_ed_years,0.006339857
n_claims,0.006217335
n_outpatient,0.005795578
n_hha_claims,0.005559469
BENE_RACE_CD,0.0050895493
n_providers,0.0048464905
utilization_trend,0.004602672
RTI_RACE_CD,0.0040092855
has_chf,0.0037591485
has_hha,0.0036961446
days_since_last_ed,0.0034978082
recent_ed,0.002666271
has_snf,0.0020316893
polypharmacy,0.00021653669
BENE_HI_CVRAGE_TOT_MONS,0.0
BENE_SMI_CVRAGE_TOT_MONS,0.0
BENE_HMO_CVRAGE_TOT_MONS,0.0
DUAL_ELGBL_MONS,0.0
BENE_STATE_BUYIN_TOT_MONS,0.0
