dataset_A,dataset_B,field,is_join_key
MASTER,PDE,BENE_ID,True
MASTER,DME,BENE_ID,True
MASTER,DME,BETOS_CD,False
MASTER,DME,CARR_CLM_CASH_DDCTBL_APLD_AMT,False
MASTER,DME,CARR_CLM_ENTRY_CD,False
MASTER,DME,CARR_CLM_HCPCS_YR_CD,False
MASTER,DME,CARR_CLM_PMT_DNL_CD,False
MASTER,DME,CARR_CLM_PRMRY_PYR_PD_AMT,False
MASTER,DME,CARR_CLM_PRVDR_ASGNMT_IND_SW,False
MASTER,DME,CARR_NUM,False
MASTER,DME,CLM_CLNCL_TRIL_NUM,False
MASTER,DME,CLM_DISP_CD,False
MASTER,DME,CLM_FROM_DT,False
MASTER,DME,CLM_ID,True
MASTER,DME,CLM_PMT_AMT,False
MASTER,DME,CLM_THRU_DT,False
MASTER,DME,HCPCS_1ST_MDFR_CD,False
MASTER,DME,HCPCS_2ND_MDFR_CD,False
MASTER,DME,HCPCS_CD,False
MASTER,DME,ICD_DGNS_CD1,False
MASTER,DME,ICD_DGNS_CD10,False
MASTER,DME,ICD_DGNS_CD11,False
MASTER,DME,ICD_DGNS_CD12,False
MASTER,DME,ICD_DGNS_CD2,False
MASTER,DME,ICD_DGNS_CD3,False
MASTER,DME,ICD_DGNS_CD4,False
MASTER,DME,ICD_DGNS_CD5,False
MASTER,DME,ICD_DGNS_CD6,False
MASTER,DME,ICD_DGNS_CD7,False
MASTER,DME,ICD_DGNS_CD8,False
MASTER,DME,ICD_DGNS_CD9,False
MASTER,DME,ICD_DGNS_VRSN_CD1,False
MASTER,DME,ICD_DGNS_VRSN_CD10,False
MASTER,DME,ICD_DGNS_VRSN_CD11,False
MASTER,DME,ICD_DGNS_VRSN_CD12,False
MASTER,DME,ICD_DGNS_VRSN_CD2,False
MASTER,DME,ICD_DGNS_VRSN_CD3,False
MASTER,DME,ICD_DGNS_VRSN_CD4,False
MASTER,DME,ICD_DGNS_VRSN_CD5,False
MASTER,DME,ICD_DGNS_VRSN_CD6,False
MASTER,DME,ICD_DGNS_VRSN_CD7,False
MASTER,DME,ICD_DGNS_VRSN_CD8,False
MASTER,DME,ICD_DGNS_VRSN_CD9,False
MASTER,DME,LINE_1ST_EXPNS_DT,False
MASTER,DME,LINE_ALOWD_CHRG_AMT,False
MASTER,DME,LINE_BENE_PMT_AMT,False
MASTER,DME,LINE_BENE_PRMRY_PYR_CD,False
MASTER,DME,LINE_BENE_PRMRY_PYR_PD_AMT,False
MASTER,DME,LINE_BENE_PTB_DDCTBL_AMT,False
MASTER,DME,LINE_CMS_TYPE_SRVC_CD,False
MASTER,DME,LINE_HCT_HGB_RSLT_NUM,False
MASTER,DME,LINE_ICD_DGNS_VRSN_CD,False
MASTER,DME,LINE_LAST_EXPNS_DT,False
MASTER,DME,LINE_NCH_PMT_AMT,False
MASTER,DME,LINE_NDC_CD,False
MASTER,DME,LINE_NUM,False
MASTER,DME,LINE_PLACE_OF_SRVC_CD,False
MASTER,DME,LINE_PMT_80_100_CD,False
MASTER,DME,LINE_PRCSG_IND_CD,False
MASTER,DME,LINE_PRVDR_PMT_AMT,False
MASTER,DME,LINE_SBMTD_CHRG_AMT,False
MASTER,DME,LINE_SERVICE_DEDUCTIBLE,False
MASTER,DME,LINE_SRVC_CNT,False
MASTER,DME,NCH_CARR_CLM_ALOWD_AMT,False
MASTER,DME,NCH_CARR_CLM_SBMTD_CHRG_AMT,False
MASTER,DME,NCH_CLM_BENE_PMT_AMT,False
MASTER,DME,NCH_CLM_PRVDR_PMT_AMT,False
MASTER,DME,NCH_CLM_TYPE_CD,False
MASTER,DME,NCH_NEAR_LINE_REC_IDENT_CD,False
MASTER,DME,NCH_WKLY_PROC_DT,False
MASTER,DME,PRNCPAL_DGNS_CD,False
MASTER,DME,PRNCPAL_DGNS_VRSN_CD,False
MASTER,DME,PRTCPTNG_IND_CD,False
MASTER,DME,PRVDR_NUM,True
MASTER,DME,PRVDR_SPCLTY,False
MASTER,DME,PRVDR_STATE_CD,False
MASTER,DME,RFR_PHYSN_NPI,False
MASTER,DME,RFR_PHYSN_UPIN,False
MASTER,DME,TAX_NUM,False
MASTER,HHA,AT_PHYSN_NPI,False
MASTER,HHA,AT_PHYSN_UPIN,False
MASTER,HHA,BENE_ID,True
MASTER,HHA,CLAIM_QUERY_CODE,False
MASTER,HHA,CLM_ADMSN_DT,False
MASTER,HHA,CLM_FAC_TYPE_CD,False
MASTER,HHA,CLM_FREQ_CD,False
MASTER,HHA,CLM_FROM_DT,False
MASTER,HHA,CLM_ID,True
MASTER,HHA,CLM_LINE_NUM,False
MASTER,HHA,CLM_MDCR_NON_PMT_RSN_CD,False
MASTER,HHA,CLM_PMT_AMT,False
MASTER,HHA,CLM_PPS_IND_CD,False
MASTER,HHA,CLM_SRVC_CLSFCTN_TYPE_CD,False
MASTER,HHA,CLM_THRU_DT,False
MASTER,HHA,CLM_TOT_CHRG_AMT,False
MASTER,HHA,FI_CLM_PROC_DT,False
MASTER,HHA,FI_NUM,False
MASTER,HHA,FST_DGNS_E_CD,False
MASTER,HHA,HCPCS_1ST_MDFR_CD,False
MASTER,HHA,HCPCS_2ND_MDFR_CD,False
MASTER,HHA,HCPCS_CD,False
MASTER,HHA,ICD_DGNS_CD1,False
MASTER,HHA,ICD_DGNS_CD10,False
MASTER,HHA,ICD_DGNS_CD11,False
MASTER,HHA,ICD_DGNS_CD12,False
MASTER,HHA,ICD_DGNS_CD13,False
MASTER,HHA,ICD_DGNS_CD14,False
